Product ID,Description,"Potential Build
Qty",Quantity,Component Product ID,Description,"Component product 
 Remaining",Component note
,,,1,B1025Q-1/3,"Clara Fabric Bed(Light Grey,Queen) - HEADBOARD",6,
,,,1,B1025Q-2/3,"Clara Fabric Bed(Light Grey,Queen) - SIDE RAILS",10,
,,,1,B1025Q-3/3,"Clara Fabric Bed(Light Grey,Queen) - FOOTBOARD + SLATS",11,
B1026K,CLARA - Dark Grey Fabric Bed - King,2
,,,1,B1026K-1/3,"Clara Fabric Bed(Dark Grey,King) - HEADBOARD",2,
,,,1,B1026K-2/3,"Clara Fabric Bed(Dark Grey,King) - SIDE RAILS",3,
,,,1,B1026K-3/3,"Clara Fabric Bed(Dark Grey,King) - FOOTBOARD + SLATS",3,
B1026Q,CLARA - Dark Grey Fabric Bed - Queen,
,,,1,B1026Q-1/3,"Clara Fabric Bed(Dark Grey,Queen) - HEADBOARD",1,
,,,1,B1026Q-2/3,"Clara Fabric Bed(Dark Grey,Queen) - SIDE RAILS",1,
,,,1,B1026Q-3/3,"Clara Fabric Bed(Dark Grey,Queen) - FOOTBOARD + SLATS",0,
B1027K,CLARA - Dark Blue Fabric Bed - King,
,,,1,B1027K-1/3,"Clara Fabric Bed(Dark Blue,King) - HEADBOARD",0,
,,,1,B1027K-2/3,"Clara Fabric Bed(Dark Blue,King) - SIDE RAILS",0,
,,,1,B1027K-3/3,"Clara Fabric Bed(Dark Blue,King) - FOOTBOARD + SLATS",0,
B1027Q,CLARA - Dark Blue Fabric Bed - Queen,19
,,,1,B1027Q-1/3,"Clara Fabric Bed(Dark Blue,Queen) - HEADBOARD",19,
,,,1,B1027Q-2/3,"Clara Fabric Bed(Dark Blue,Queen) - SIDE RAILS",19,
,,,1,B1027Q-3/3,"Clara Fabric Bed(Dark Blue,Queen) - FOOTBOARD + SLATS",23,
B1030K,MACY - Blue Velvet Bed with Storage - King Size - King,3
,,,1,B1030K-1/4,"Macy Fabric Bed with Storage(Velvet Blue,King) - HEADBOARD",3,
,,,1,B1030K-2/4,"Macy Fabric Bed with Storage(Velvet Blue,King) - SIDE RAILS+SLATS",3,
,,,1,B1030K-3/4,"Macy Fabric Bed with Storage(Velvet Blue,King) - FOOTBOARD",3,
,,,1,B1030K-4/4,"Macy Fabric Bed with Storage(Velvet Blue,King) - DRAWERS",3,
B1030Q,MACY - Blue Velvet Bed with Storage - Queen Size - Queen,1
,,,1,B1030Q-1/4,"Macy Fabric Bed with Storage(Velvet Blue,Queen) - HEADBOARD",2,
,,,1,B1030Q-2/4,"Macy Fabric Bed with Storage(Velvet Blue,Queen) - SIDE RAILS+SLATS",2,
,,,1,B1030Q-3/4,"Macy Fabric Bed with Storage(Velvet Blue,Queen) - FOOTBOARD",2,
,,,1,B1030Q-4/4,"Macy Fabric Bed with Storage(Velvet Blue,Queen) - DRAWERS",1,
B1031K,MEREDITH - Dark Grey Fabric Bed - King,9
,,,1,B1031K-1/3,"Meredith Fabric Bed(Dark Grey,King) - HEADBOARD",10,
,,,1,B1031K-2/3,"Meredith Fabric Bed(Dark Grey,King) - FOOTBOARD",9,
,,,1,B1031K-3/3,"Meredith Fabric Bed(Dark Grey,King) - SIDE RAILS",9,
B1031Q,MEREDITH - Dark Grey Fabric Bed - Queen,23
,,,1,B1031Q-1/3,"Meredith Fabric Bed(Dark Grey,Queen) - HEADBOARD",23,
,,,1,B1031Q-2/3,"Meredith Fabric Bed(Dark Grey,Queen) - FOOTBOARD",24,
,,,1,B1031Q-3/3,"Meredith Fabric Bed(Dark Grey,Queen) - SIDE RAILS",25,
B1032K,MEREDITH - Dark Blue Velvet Bed - King,14
,,,1,B1032K-1/3,"Meredith Fabric Bed(Velvet Dark Blue,King) - HEADBOARD",14,
,,,1,B1032K-2/3,"Meredith Fabric Bed(Velvet Dark Blue,King) - FOOTBOARD",15,
,,,1,B1032K-3/3,"Meredith Fabric Bed(Velvet Dark Blue,King) - SIDE RAILS",16,
B1032Q,MEREDITH - Dark Blue Velvet Bed - Queen,2
,,,1,B1032Q-1/3,"Meredith Fabric Bed(Velvet Dark Blue,Queen) - HEADBOARD",2,
,,,1,B1032Q-2/3,"Meredith Fabric Bed(Velvet Dark Blue,Queen) - FOOTBOARD",4,
